2022-07-20 18:05:14,882 (58, 'management', 'married', 'tertiary', None, 2143, 'yes', 'no', 'known', 5, 'may', 261, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,883 (44, 'technician', 'single', 'secondary', None, 29, 'yes', 'no', 'known', 5, 'may', 151, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,883 (33, 'entrepreneur', 'married', 'secondary', None, 2, 'yes', 'yes', 'known', 5, 'may', 76, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,883 (47, 'blue-collar', 'married', 'unknown', None, 1506, 'yes', 'no', 'known', 5, 'may', 92, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,883 (35, 'management', 'married', 'tertiary', None, 231, 'yes', 'no', 'known', 5, 'may', 139, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,883 (28, 'management', 'single', 'tertiary', None, 447, 'yes', 'yes', 'known', 5, 'may', 217, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (42, 'entrepreneur', 'divorced', 'tertiary', 'yes', 2, 'yes', 'no', 'known', 5, 'may', 380, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (58, 'retired', 'married', 'primary', None, 121, 'yes', 'no', 'known', 5, 'may', 50, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (43, 'technician', 'single', 'secondary', None, 593, 'yes', 'no', 'known', 5, 'may', 55, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (41, 'admin.', 'divorced', 'secondary', None, 270, 'yes', 'no', 'known', 5, 'may', 222, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (29, 'admin.', 'single', 'secondary', None, 390, 'yes', 'no', 'known', 5, 'may', 137, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (53, 'technician', 'married', 'secondary', None, 6, 'yes', 'no', 'known', 5, 'may', 517, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (58, 'technician', 'married', 'unknown', None, 71, 'yes', 'no', 'known', 5, 'may', 71, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (57, 'services', 'married', 'secondary', None, 162, 'yes', 'no', 'known', 5, 'may', 174, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (51, 'retired', 'married', 'primary', None, 229, 'yes', 'no', 'known', 5, 'may', 353, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (45, 'admin.', 'single', 'unknown', None, 13, 'yes', 'no', 'known', 5, 'may', 98, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (57, 'blue-collar', 'married', 'primary', None, 52, 'yes', 'no', 'known', 5, 'may', 38, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (60, 'retired', 'married', 'primary', None, 60, 'yes', 'no', 'known', 5, 'may', 219, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (33, 'services', 'married', 'secondary', None, 0, 'yes', 'no', 'known', 5, 'may', 54, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (28, 'blue-collar', 'married', 'secondary', None, 723, 'yes', 'yes', 'known', 5, 'may', 262, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (56, 'management', 'married', 'tertiary', None, 779, 'yes', 'no', 'known', 5, 'may', 164, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (32, 'blue-collar', 'single', 'primary', None, 23, 'yes', 'yes', 'known', 5, 'may', 160, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (25, 'services', 'married', 'secondary', None, 50, 'yes', 'no', 'known', 5, 'may', 342, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (40, 'retired', 'married', 'primary', None, 0, 'yes', 'yes', 'known', 5, 'may', 181, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (44, 'admin.', 'married', 'secondary', None, -372, 'yes', 'no', 'known', 5, 'may', 172, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (39, 'management', 'single', 'tertiary', None, 255, 'yes', 'no', 'known', 5, 'may', 296, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (52, 'entrepreneur', 'married', 'secondary', None, 113, 'yes', 'yes', 'known', 5, 'may', 127, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (46, 'management', 'single', 'secondary', None, -246, 'yes', 'no', 'known', 5, 'may', 255, 2, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (36, 'technician', 'single', 'secondary', None, 265, 'yes', 'yes', 'known', 5, 'may', 348, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,884 (57, 'technician', 'married', 'secondary', None, 839, 'no', 'yes', 'known', 5, 'may', 225, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,885 (49, 'management', 'married', 'tertiary', None, 378, 'yes', 'no', 'known', 5, 'may', 230, 1, -1, 0, 'unknown', 'yes')
2022-07-20 18:05:14,885 (60, 'admin.', 'married', 'secondary', None, 39, 'yes', 'yes', 'known', 5, 'may', 208, 1, -1, 0, 'unknown', 'yes')
